track_id,zone,error_type
121000256,matagalls,3
121008163,matagalls,3
121011215,matagalls,5
121037929,matagalls,5
121091544,matagalls,1
121113784,matagalls,5
121165317,matagalls,5
121196553,matagalls,5
121226446,matagalls,1
121235861,matagalls,3
121240219,matagalls,3
121247279,matagalls,1
121251057,matagalls,5
121255423,matagalls,5
121324638,matagalls,5
121355965,matagalls,1
121366117,matagalls,5
121378203,matagalls,3
121382400,matagalls,1
121382557,matagalls,1
121386671,matagalls,1
121391171,matagalls,5
121439721,matagalls,2
121440760,matagalls,2
121453098,matagalls,5
121460306,matagalls,5
121473018,matagalls,3
121485989,matagalls,1
121530523,matagalls,3
121598745,matagalls,5
121605573,matagalls,1
121624116,matagalls,1
121643866,matagalls,3
121650922,matagalls,1
121652732,matagalls,5
121687425,matagalls,3
121746091,matagalls,5
121753350,matagalls,1
121791001,matagalls,5
121821346,matagalls,1
121822022,matagalls,5
121847579,matagalls,1
121873418,matagalls,5
121885767,matagalls,5
121906734,matagalls,1
121908352,matagalls,5
121910321,matagalls,1
121910563,matagalls,1
121915047,matagalls,5
121917111,matagalls,5
121917871,matagalls,3
121920975,matagalls,5
121926171,matagalls,5
121927292,matagalls,5
121928908,matagalls,1
121933469,matagalls,3
121949770,matagalls,5
121971806,matagalls,3
121984107,matagalls,3
121990974,matagalls,5
122003152,matagalls,3
122003226,matagalls,1
122003324,matagalls,1
122003477,matagalls,3
122006317,matagalls,5
122023144,matagalls,5
122042635,matagalls,2
122072062,matagalls,1
122073826,matagalls,1
122081103,matagalls,1
122091366,matagalls,1
122097241,matagalls,1
122142519,matagalls,3
122146256,matagalls,5
122148834,matagalls,5
122150914,matagalls,1
122154884,matagalls,2
122157871,matagalls,5
122175130,matagalls,1
122179395,matagalls,5
122180239,matagalls,3
122181625,matagalls,1
122206369,matagalls,5
122212632,matagalls,2
122236475,matagalls,1
122237556,matagalls,3
122239124,matagalls,5
122281876,matagalls,1
122289066,matagalls,5
122296240,matagalls,1
122297644,matagalls,1
122300565,matagalls,5
122306927,matagalls,1
122318869,matagalls,1
122343063,matagalls,1
122371216,matagalls,2
122383187,matagalls,1
122391261,matagalls,2
122396865,matagalls,2
122402665,matagalls,5
122419681,matagalls,5
122447450,matagalls,1
122463532,matagalls,5
122469904,matagalls,5
122472983,matagalls,3
122480354,matagalls,3
122481384,matagalls,1
122487012,matagalls,5
122525619,matagalls,5
122529566,matagalls,1
122597166,matagalls,5
122614919,matagalls,1
122624038,matagalls,1
122627409,matagalls,1
122636529,matagalls,5
122636605,matagalls,5
122638876,matagalls,1
122664048,matagalls,5
122696359,matagalls,2
122706098,matagalls,5
122709362,matagalls,2
122710302,matagalls,3
122719803,matagalls,1
122723422,matagalls,5
122737212,matagalls,1
122752923,matagalls,5
122753580,matagalls,5
122761381,matagalls,1
122761404,matagalls,1
122763420,matagalls,1
122772796,matagalls,1
122783746,matagalls,1
122793906,matagalls,5
122841072,matagalls,5
122846530,matagalls,3
122865430,matagalls,1
122869959,matagalls,1
122872228,matagalls,5
122873664,matagalls,5
122884078,matagalls,5
122884105,matagalls,5
122891685,matagalls,1
122893298,matagalls,1
122893511,matagalls,5
122894094,matagalls,3
122895458,matagalls,1
122898317,matagalls,5
122901049,matagalls,5
122912473,matagalls,3
122915601,matagalls,5
122953566,matagalls,5
122970768,matagalls,3
122970778,matagalls,3
122971643,matagalls,5
122973994,matagalls,5
122977137,matagalls,1
122979423,matagalls,3
122987666,matagalls,1
122988643,matagalls,3
123001667,matagalls,1
123021304,matagalls,5
123040455,matagalls,3
123046293,matagalls,5
123049161,matagalls,3
123055434,matagalls,1
123065195,matagalls,1
123122830,matagalls,3
123169512,matagalls,5
123204218,matagalls,5
123235687,matagalls,5
123257777,matagalls,1
123292485,matagalls,3
123312679,matagalls,3
123313315,matagalls,5
123360167,matagalls,5
123366457,matagalls,1
123388892,matagalls,1
123409895,matagalls,2
123421954,matagalls,1
123438638,matagalls,5
123444402,matagalls,5
123445346,matagalls,1
123463750,matagalls,3
123538394,matagalls,3
123539705,matagalls,5
123566342,matagalls,1
123568517,matagalls,2
123648744,matagalls,3
123679246,matagalls,5
123787972,matagalls,1
123830137,matagalls,1
123900861,matagalls,1
123907397,matagalls,5
123912048,matagalls,3
123915986,matagalls,1
123924000,matagalls,5
123942142,matagalls,1
123962222,matagalls,5
123963652,matagalls,5
124000194,matagalls,5
124009429,matagalls,1
124009733,matagalls,3
124028779,matagalls,1
124112042,matagalls,1
124133261,matagalls,1
124272111,matagalls,5
124294689,matagalls,1
124297652,matagalls,1
124302144,matagalls,5
124303491,matagalls,1
124357224,matagalls,1
124371990,matagalls,1
124373856,matagalls,5
124380066,matagalls,1
124411531,matagalls,1
124422227,matagalls,5
124435207,matagalls,1
124440568,matagalls,5
124445956,matagalls,3
124448033,matagalls,1
124451936,matagalls,5
124478523,matagalls,5
124483152,matagalls,5
124530121,matagalls,1
124534769,matagalls,1
124534815,matagalls,3
124543258,matagalls,5
124546920,matagalls,1
124550321,matagalls,5
124550324,matagalls,1
124564826,matagalls,1
124575031,matagalls,5
124578731,matagalls,3
124580560,matagalls,5
124615161,matagalls,4
124618896,matagalls,3
124654173,matagalls,3
124670963,matagalls,1
124679111,matagalls,1
124703328,matagalls,5
124773857,matagalls,5
124783156,matagalls,5
124783643,matagalls,5
124831022,matagalls,3
124854182,matagalls,1
124861389,matagalls,5
124897683,matagalls,1
124913698,matagalls,3
124936375,matagalls,1
124950062,matagalls,2
124956991,matagalls,3
124959421,matagalls,1
124960611,matagalls,5
124986333,matagalls,3
124991899,matagalls,3
124994247,matagalls,5
124997987,matagalls,1
124998685,matagalls,1
125013070,matagalls,5
125021492,matagalls,1
125022889,matagalls,1
125045443,matagalls,5
125050779,matagalls,3
125056135,matagalls,5
125070489,matagalls,5
125116635,matagalls,5
125120615,matagalls,1
125147114,matagalls,5
125148184,matagalls,1
125150031,matagalls,5
125150301,matagalls,1
125152899,matagalls,1
125157318,matagalls,5
125165582,matagalls,3
125416629,matagalls,1
125457415,matagalls,1
125457755,matagalls,2
125458353,matagalls,3
125458364,matagalls,5
125459475,matagalls,1
125465952,matagalls,5
125469163,matagalls,1
125470178,matagalls,1
125470540,matagalls,1
125512466,matagalls,3
125517329,matagalls,1
125520856,matagalls,3
125525643,matagalls,5
125529631,matagalls,1
125529682,matagalls,1
125537172,matagalls,5
125539456,matagalls,1
125542191,matagalls,1
125547837,matagalls,5
125605204,matagalls,1
125620773,matagalls,1
125631350,matagalls,3
125647475,matagalls,5
125650345,matagalls,3
125652078,matagalls,5
125652351,matagalls,1
125669900,matagalls,1
125691471,matagalls,1
125698229,matagalls,5
125712497,matagalls,1
125720102,matagalls,5
125729537,matagalls,5
125733811,matagalls,5
125742901,matagalls,2
125744880,matagalls,1
125772262,matagalls,1
125774667,matagalls,5
125791793,matagalls,5
125794134,matagalls,1
125795821,matagalls,5
125833735,matagalls,5
125888422,matagalls,1
125933061,matagalls,3
125954019,matagalls,5
125997718,matagalls,1
126031785,matagalls,1
126035302,matagalls,5
126062731,matagalls,1
126066522,matagalls,1
126106463,matagalls,5
126130276,matagalls,5
126130679,matagalls,5
126134736,matagalls,1
126137880,matagalls,3
126159207,matagalls,5
126163594,matagalls,1
126176304,matagalls,3
126181088,matagalls,3
126189613,matagalls,1
126193816,matagalls,5
126194315,matagalls,1
126201930,matagalls,1
126265063,matagalls,5
126265532,matagalls,5
126281345,matagalls,2
126282765,matagalls,5
126293410,matagalls,5
126294417,matagalls,5
126297965,matagalls,5
126305380,matagalls,5
126312880,matagalls,5
126321763,matagalls,3
126322926,matagalls,3
126323210,matagalls,5
126329920,matagalls,5
126337958,matagalls,1
126339708,matagalls,3
126363353,matagalls,1
126384960,matagalls,5
126400896,matagalls,3
126424252,matagalls,5
126494274,matagalls,1
126494783,matagalls,1
126512418,matagalls,1
126513565,matagalls,1
126516768,matagalls,3
126521892,matagalls,3
126551151,matagalls,5
126557194,matagalls,2
126559921,matagalls,2
126579083,matagalls,5
126590647,matagalls,1
126790935,matagalls,5
